"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 18, 2017","9,854.40","9,869.00","9,869.00","9,794.20","10.01M","-0.56%"
"Aug 17, 2017","9,909.45","9,927.90","9,940.00","9,881.60","8.46M","0.05%"
"Aug 16, 2017","9,904.95","9,829.40","9,910.00","9,778.20","10.91M","1.05%"
"Aug 15, 2017","9,802.00","9,846.75","9,850.50","9,785.50","-","-0.14%"
"Aug 14, 2017","9,815.60","9,778.25","9,837.80","9,776.70","6.83M","0.77%"
"Aug 11, 2017","9,741.05","9,776.75","9,800.00","9,710.10","13.04M","-1.15%"
"Aug 10, 2017","9,854.75","9,895.00","9,919.90","9,803.55","10.62M","-0.72%"
"Aug 09, 2017","9,926.70","9,977.75","9,989.00","9,912.20","8.90M","-0.73%"
"Aug 08, 2017","9,999.45","10,081.10","10,104.90","9,958.50","11.13M","-0.91%"
"Aug 07, 2017","10,091.75","10,099.00","10,119.00","10,079.50","3.81M","-0.17%"
"Aug 04, 2017","10,108.55","10,028.45","10,124.00","10,018.25","7.87M","0.65%"
"Aug 03, 2017","10,043.00","10,081.10","10,087.90","10,024.00","6.62M","-0.58%"
"Aug 02, 2017","10,101.10","10,149.00","10,149.00","10,081.00","6.35M","-0.37%"
"Aug 01, 2017","10,138.45","10,115.00","10,149.90","10,105.00","4.49M","0.35%"
"Jul 31, 2017","10,103.00","10,038.25","10,114.20","10,038.25","5.14M","0.60%"
"Jul 28, 2017","10,042.25","10,011.50","10,053.30","9,990.00","10.40M","0.22%"
"Jul 27, 2017","10,020.55","10,042.40","10,117.90","10,010.00","16.46M","-0.02%"
"Jul 26, 2017","10,023.05","9,975.25","10,032.00","9,964.20","9.46M","0.49%"
"Jul 25, 2017","9,973.80","9,985.40","9,994.85","9,950.85","7.70M","0.18%"
"Jul 24, 2017","9,955.80","9,924.90","9,973.80","9,914.15","8.36M","0.46%"
"Jul 21, 2017","9,910.55","9,900.05","9,919.75","9,833.30","9.77M","0.23%"
"Jul 20, 2017","9,888.05","9,927.75","9,929.00","9,866.30","6.53M","-0.31%"
"Jul 19, 2017","9,919.15","9,875.25","9,925.00","9,865.40","7.00M","0.74%"
"Jul 18, 2017","9,846.30","9,873.20","9,905.20","9,832.00","10.97M","-0.87%"
"Jul 17, 2017","9,933.15","9,926.15","9,942.95","9,906.10","5.76M","0.34%"
"Jul 14, 2017","9,899.55","9,907.00","9,907.00","9,858.10","5.67M","0.12%"
"Jul 13, 2017","9,887.50","9,872.15","9,892.90","9,857.50","6.63M","0.66%"
"Jul 12, 2017","9,822.35","9,802.00","9,830.00","9,786.20","6.87M","0.36%"
"Jul 11, 2017","9,787.25","9,801.65","9,829.00","9,780.60","6.61M","0.11%"
"Jul 10, 2017","9,776.95","9,700.15","9,793.50","9,688.25","7.86M","1.13%"
"Jul 07, 2017","9,667.50","9,654.00","9,682.05","9,644.25","5.30M","-0.06%"
"Jul 06, 2017","9,673.35","9,653.00","9,702.90","9,642.55","7.42M","0.29%"
"Jul 05, 2017","9,645.30","9,636.15","9,651.00","9,615.00","4.85M","0.22%"
"Jul 04, 2017","9,624.05","9,623.40","9,643.55","9,595.10","7.50M","0.02%"
"Jul 03, 2017","9,621.80","9,547.70","9,634.65","9,538.75","9.74M","1.10%"
"Jun 30, 2017","9,517.40","9,493.25","9,529.05","9,451.50","9.04M","0.14%"
"Jun 29, 2017","9,504.10","9,525.25","9,584.90","9,497.40","16.57M","0.09%"
"Jun 28, 2017","9,495.60","9,503.35","9,524.00","9,472.00","10.21M","-0.18%"
"Jun 27, 2017","9,513.00","9,615.00","9,616.90","9,480.05","15.77M","-1.54%"
"Jun 26, 2017","9,662.25","9,636.00","9,670.50","9,616.25","-","0.75%"
"Jun 23, 2017","9,590.05","9,639.95","9,640.00","9,574.20","8.73M","-0.45%"
"Jun 22, 2017","9,633.10","9,680.15","9,716.00","9,616.65","9.05M","-0.23%"
"Jun 21, 2017","9,655.25","9,644.90","9,668.00","9,615.80","5.77M","-0.20%"
"Jun 20, 2017","9,674.45","9,684.00","9,689.60","9,662.00","3.53M","-0.01%"
"Jun 19, 2017","9,675.25","9,626.00","9,697.00","9,625.50","7.13M","0.81%"
